Sat May 09 00:48:12 +0000 2020,"b'RT @JackPosobiec: To be clear:\n\n COVID19 is not a ""deep state Soros/Bill Gates population control conspiracy"" \n\nThere is no evidence of thi'",emoffet,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Edmonton home of the #oilers,10272,11324,0,0,
Sat May 09 00:48:12 +0000 2020,b'RT @AndreaChavezTre: Nunca dejaremos de dar las #GraciasPorCuidarnos a todo el personal de salud que encabeza la resistencia contra el COVI',LIVO70,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,239,205,0,0,
Sat May 09 00:48:12 +0000 2020,b'4k followers loading',MykMykhaelz,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",EVERYWHERE ,1254,1239,0,0,
Sat May 09 00:48:12 +0000 2020,b'',KathieAGreen,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Florida, USA",343,803,0,0,
Sat May 09 00:48:12 +0000 2020,b'RT @KKMPutrajaya: Jangkitan #COVID19 sejak #PKPB berkuatkuasa 4 Mei lalu dalam keadaan terkawal tetapi kawalan sempadan diperketat (elak ke',TM_CrewZ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kuala Lumpur,274,159,0,0,
Sat May 09 00:48:12 +0000 2020,b'RT @Joe911S: ricercatori sostengono che la vitamina D aiuta a ridurre il pericolo di morte per Covid19. La Vitamina D la possiamo metaboliz',FinoGinofino,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Italy,197,569,0,0,
Sat May 09 00:48:12 +0000 2020,"b""RT @RVAwonk: Pictured below (on the right) is Katie Miller -- Mike Pence's press secretary who just tested positive for #COVID19 -- at the""",RedStateBlues_,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Central Louisiana,41931,45437,0,0,
Sat May 09 00:48:12 +0000 2020,"b'RT @vegix: An FDNY paramedic is awake and recovering from #COVID19 after a month hospitalized in a coma, the FDNY EMS union said.\n\n""She spe'",zen4ever2us2,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","California, USA",230,285,0,0,
Sat May 09 00:48:12 +0000 2020,"b""RT @AdrianaCarranca: Mortes por #Covid19 e Bolsonaro: \n\n0 'Fantasia da mdia'\n47 'Gripezinha, resfriadinho'\n77 'Brasileiro no pega nada'\n1""",LuizJuniorJM,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,365,251,0,0,
Sat May 09 00:48:12 +0000 2020,"b'RT @AABenedetti: Parece que cada muerte por #COVID19 viene justificada por una o varias comorbilidades, quieren que perdamos el miedo al v'",rolo1379,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>", Colombia,314,2233,0,0,
